,City,City ID,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Date
328,Lagoa,2267254,PT,37.14,-8.45,63.0,93,0,5.82,1562558782
329,Caluquembe,3351024,AO,-13.78,14.68,48.63,37,0,5.08,1562558782
330,Cururupu,3401148,BR,-1.82,-44.87,72.43,97,52,2.21,1562558782
331,Atar,2381334,MR,20.52,-13.05,90.9,15,1,12.77,1562558783
332,Margate,2158744,AU,-43.03,147.26,57.2,58,35,16.11,1562558783
333,Vanatori,662841,RO,45.73,27.25,68.0,88,90,9.17,1562558783
334,Flin Flon,5954718,CA,54.77,-101.88,61.79,97,96,3.6,1562558784
335,Hamilton,5969785,CA,43.26,-79.87,68.0,77,40,5.82,1562558730
336,Udachnyy,2014624,RU,66.42,112.4,64.4,77,90,4.47,1562558784
337,Malpe,1264037,IN,13.35,74.72,77.0,94,75,3.36,1562558784
338,Inta,1505579,RU,66.04,60.13,54.52,60,31,10.69,1562558784
339,Maningrida,2067089,AU,-12.05,134.23,86.41,39,0,9.04,1562558785
340,Katsuura,1865309,JP,33.93,134.5,82.99,74,75,9.17,1562558785
341,Bowen,2174444,AU,-20.01,148.25,75.2,69,40,18.34,1562558785
342,Jacareacanga,3397763,BR,-6.22,-57.76,72.54,93,0,1.88,1562558785
343,Visnes,3131500,NO,59.36,5.22,52.0,76,99,19.46,1562558786
344,Broome,2656067,GB,52.47,1.45,55.99,82,57,2.24,1562558786
345,Hershey,5193342,US,40.29,-76.65,75.2,94,90,3.11,1562558569
346,Kununurra,2068110,AU,-15.77,128.74,86.0,22,0,14.99,1562558786
347,Sayyan,70979,YE,15.17,44.32,75.96,56,85,2.62,1562558786
348,Hambantota,1244926,LK,6.12,81.12,86.0,79,40,16.11,1562558764
349,Cockburn Town,3576994,TC,21.46,-71.14,81.54,76,5,18.81,1562558787
350,Carutapera,3402648,BR,-1.2,-46.02,77.34,83,24,4.79,1562558787
351,Urucara,3385670,BR,-2.54,-57.76,73.31,95,93,1.41,1562558787
352,Sturgeon Bay,5274867,US,44.83,-87.38,62.6,93,1,2.46,1562558634
353,Rodas,3541999,CU,22.34,-80.56,77.0,88,73,2.24,1562558788
354,Nova Olinda do Norte,3393838,BR,-3.89,-59.1,73.67,95,99,1.68,1562558788
355,Mahibadhoo,1337605,MV,3.78,72.97,83.8,71,20,7.72,1562558788
356,Ilo,3938415,PE,-17.65,-71.34,61.5,88,98,9.53,1562558788
357,Leningradskiy,2123814,RU,69.38,178.42,54.23,59,80,14.72,1562558789
358,Kandrian,2094746,PG,-6.21,149.55,83.28,65,16,12.06,1562558789
359,Paducah,4048662,US,37.08,-88.6,80.6,88,75,4.34,1562558789
360,Novo Aripuana,3663142,BR,-5.12,-60.38,72.05,96,100,0.36,1562558789
361,Zeya,2012593,RU,53.74,127.27,79.16,50,0,10.16,1562558790
362,George Town,1735106,MY,5.42,100.33,89.6,70,75,8.05,1562558790
363,Paraguacu Paulista,3455152,BR,-22.41,-50.58,46.78,85,0,10.4,1562558790
364,Bercel,3055130,HU,47.87,19.4,64.0,82,0,8.05,1562558790
365,Ulladulla,2145554,AU,-35.36,150.48,66.2,55,75,14.99,1562558791
366,Cape Coast,2302357,GH,5.11,-1.24,74.86,90,60,13.8,1562558791
367,Bom Jesus do Galho,3469426,BR,-19.83,-42.32,56.48,73,53,3.65,1562558791
368,Ozark,4402245,US,37.02,-93.21,77.0,100,1,3.47,1562558791
369,Sabratah,2212771,LY,32.79,12.49,77.16,60,0,0.54,1562558792
370,Peniche,2264923,PT,39.36,-9.38,64.0,88,20,2.24,1562558792
371,Ouadda,236901,CF,8.07,22.4,67.21,98,100,6.06,1562558792
372,Presidencia Roque Saenz Pena,3840300,AR,-26.79,-60.44,42.85,69,71,5.84,1562558793
373,Salalah,286621,OM,17.01,54.1,82.4,88,75,5.82,1562558793
374,Mula,2513436,ES,38.04,-1.49,77.0,78,47,4.7,1562558614
375,Iracoubo,3381428,GF,5.48,-53.21,74.1,94,54,3.31,1562558793
376,Millinocket,4972220,US,45.66,-68.71,60.8,72,1,3.36,1562558793
377,Solec Kujawski,3085172,PL,53.08,18.22,53.01,81,0,12.75,1562558794
378,Tanabe,1850708,JP,33.73,135.39,80.6,74,75,10.29,1562558794
379,Rosarito,3676604,CO,4.91,-75.23,68.0,94,40,6.93,1562558794
380,Tucuman,3934608,PE,-17.17,-70.89,52.39,35,0,2.44,1562558794
381,Comodoro Rivadavia,3860443,AR,-45.87,-67.48,42.8,100,20,12.75,1562558795
382,Pasni,1168312,PK,25.26,63.48,83.48,73,19,3.29,1562558795
383,Loknya,527034,RU,54.21,39.24,57.0,94,87,4.59,1562558795
384,Petropavlovsk-Kamchatskiy,2122104,RU,53.05,158.65,50.0,100,90,11.18,1562558795
385,Morant Bay,3489440,JM,17.88,-76.41,84.2,54,20,13.87,1562558796
386,Antalaha,1071296,MG,-14.9,50.28,65.52,94,100,2.13,1562558796
387,Paciran,1633442,ID,-6.9,112.33,80.67,65,7,5.86,1562558796
388,Ilulissat,3423146,GL,69.22,-51.1,51.8,57,96,2.24,1562558797
389,Bathsheba,3374083,BB,13.22,-59.52,82.4,78,20,17.22,1562558797
390,Ancud,3899695,CL,-41.87,-73.83,50.0,100,90,14.99,1562558797
391,Gusinoye Ozero,2023778,RU,51.11,106.26,74.97,23,0,6.67,1562558797
392,Kuna,5597955,US,43.49,-116.42,82.4,29,1,7.2,1562558694
393,Walvis Bay,3359638,NA,-22.95,14.51,55.4,54,0,4.7,1562558798
394,Henties Bay,3356832,NA,-22.12,14.28,60.19,68,0,11.41,1562558798
395,Buta,217570,CD,2.79,24.73,68.85,98,100,1.16,1562558799
396,Hay River,5972762,CA,60.82,-115.79,51.8,71,40,10.29,1562558799
397,Da Lat,1584071,VN,11.95,108.44,81.79,63,28,3.67,1562558799
398,Watertown,5232741,US,44.9,-97.12,73.4,78,1,4.7,1562558799
399,Wladyslawowo,3081752,PL,54.79,18.4,57.99,100,75,6.93,1562558800
400,Sorland,3137469,NO,67.67,12.69,50.11,86,100,9.95,1562558800
401,Bulz,683310,RO,46.91,22.68,63.0,93,77,5.82,1562558800
402,Pierre,5767918,US,44.37,-100.35,75.99,73,75,6.93,1562558612
403,Kaputa,176758,ZM,-8.47,29.66,58.23,54,2,1.92,1562558800
404,Nurota,1513087,UZ,40.56,65.69,89.6,22,0,4.7,1562558801
405,Zaysan,1517060,KZ,47.47,84.87,78.78,38,0,7.05,1562558801
406,Bobcaygeon,8125787,CA,44.54,-78.55,62.01,93,1,2.3,1562558801
407,Baculin,1729469,PH,7.45,126.58,83.35,68,3,5.12,1562558802
408,Paamiut,3421193,GL,61.99,-49.67,47.08,73,99,8.46,1562558802
409,Aitape,2101169,PG,-3.15,142.36,86.9,57,95,4.52,1562558802
410,La Ronge,6050066,CA,55.1,-105.3,64.4,82,75,3.62,1562558802
411,Banmankhi,1277263,IN,25.89,87.19,79.3,92,100,15.82,1562558803
412,Mandera,187896,ET,3.94,41.86,75.06,68,100,7.56,1562558803
413,Sagaing,1298482,MM,21.88,95.98,89.6,62,75,17.22,1562558803
414,Kalmunai,1242110,LK,7.42,81.82,86.27,50,58,2.8,1562558804
415,Monrovia,2274895,LR,6.33,-10.8,75.88,89,100,9.48,1562558804
416,Mangai,2313084,CD,-4.07,19.59,67.93,73,85,1.81,1562558804
417,Tyrma,2014694,RU,50.04,132.17,88.12,40,32,3.38,1562558804
418,Sala,2680662,SE,59.92,16.61,59.0,71,99,6.93,1562558804
419,Buraydah,107304,SA,26.33,43.97,82.4,30,0,3.36,1562558746
420,Velez,3667725,CO,9.11,-75.09,76.77,95,39,7.2,1562558805
421,Daru,2098329,PG,-9.07,143.21,79.93,82,51,12.26,1562558805
422,Benguela,3351663,AO,-12.58,13.4,69.89,87,6,8.68,1562558805
423,Acapulco,3533462,MX,16.86,-99.88,84.2,79,20,5.82,1562558642
424,Megion,1499053,RU,61.04,76.11,60.8,82,75,13.42,1562558806
425,Xicotencatl,3483063,MX,23.02,-98.88,82.99,65,0,5.01,1562558806
426,Babu,1801374,CN,23.23,104.89,77.13,72,100,7.27,1562558806
427,Ocos,3592086,GT,14.51,-92.19,78.8,94,40,4.41,1562558807
428,Yankton,5233053,US,42.87,-97.4,77.0,78,1,6.93,1562558807
429,Wajima,1848976,JP,37.4,136.9,73.4,78,75,5.82,1562558807
430,Magadan,2123628,RU,59.56,150.8,50.4,81,90,8.28,1562558807
431,Juneau,5554072,US,58.3,-134.42,77.0,49,20,10.29,1562558558
432,Bristol,2654675,GB,51.45,-2.6,57.2,87,75,3.36,1562558808
433,Atambua,1651103,ID,-9.11,124.89,78.6,67,0,4.18,1562558808
434,Swan Hill,2147756,AU,-35.34,143.56,58.55,64,0,8.55,1562558808
435,Pinawa,6104820,CA,50.15,-95.88,70.0,55,62,1.01,1562558809
436,Bukachacha,2026023,RU,52.99,116.91,65.26,54,100,4.45,1562558809
437,Masindi,229362,UG,1.69,31.72,64.89,88,62,2.28,1562558809
438,Maksatikha,531979,RU,57.8,35.88,48.79,92,0,2.62,1562558809
439,Raahe,640276,FI,64.68,24.47,50.0,76,90,10.29,1562558809
440,Knokke-Heist,2794216,BE,51.33,3.33,59.0,71,34,4.7,1562558810
441,Nanae,2129003,JP,41.94,140.7,68.0,64,75,16.11,1562558810
442,Yatou,2225940,CM,3.63,9.81,76.95,85,96,15.75,1562558810
443,Crixas,3465145,BR,-14.55,-49.97,65.97,49,0,4.0,1562558810
444,Oban,2641108,GB,56.42,-5.47,46.99,90,100,3.13,1562558811
445,Churachandpur,1273909,IN,24.33,93.67,77.0,94,75,1.23,1562558811
446,Fairlie,4682762,US,33.31,-95.96,87.01,78,1,3.36,1562558811
447,Kumluca,305681,TR,36.37,30.29,64.33,45,0,5.79,1562558811
448,Opportunity,5637146,US,46.11,-112.83,60.8,63,1,3.18,1562558812
449,Eyl,60019,SO,7.98,49.82,77.7,66,100,29.53,1562558812
450,Cedral,4014914,MX,23.82,-100.72,70.81,58,63,14.63,1562558812
451,Soyo,2236967,AO,-6.13,12.37,73.71,83,34,7.76,1562558812
452,Khandbari,1283217,NP,27.38,87.21,61.0,96,85,3.65,1562558812
453,Sioux Lookout,6148373,CA,50.1,-91.92,69.8,82,90,2.24,1562558813
454,Klaksvik,2618795,FO,62.23,-6.59,48.2,93,92,12.75,1562558813
455,Gorodishche,559643,RU,53.27,45.7,64.0,81,98,3.76,1562558813
456,Shache,1280037,CN,38.42,77.24,75.0,96,79,5.53,1562558813
457,Nabire,1634614,ID,-3.36,135.5,79.21,70,89,3.65,1562558814
458,Cap-aux-Meules,5915327,CA,47.38,-61.86,58.62,65,0,9.64,1562558814
459,Novomykolayivka,705811,UA,48.54,32.26,64.04,92,100,7.16,1562558814
460,Vila Franca do Campo,3372472,PT,37.72,-25.43,68.0,94,75,4.7,1562558814
461,Touros,3386213,BR,-5.2,-35.46,73.4,94,0,4.7,1562558815
462,Suchedniow,757886,PL,51.05,20.83,55.99,86,49,8.84,1562558815
463,Ginda,1253628,IN,30.69,78.49,77.0,94,90,2.82,1562558815
464,Katangli,2122783,RU,51.71,143.23,49.51,95,100,6.82,1562558815
465,Santa Quiteria,2514891,ES,37.67,-1.69,77.0,87,97,1.03,1562558816
466,Cap Malheureux,934649,MU,-19.98,57.61,71.01,100,75,1.12,1562558816
467,Calbuco,3897334,CL,-41.77,-73.13,51.8,87,0,13.87,1562558816
468,Mersing,1732826,MY,2.43,103.84,87.24,61,0,3.83,1562558816
469,Karratha,6620339,AU,-20.74,116.85,79.61,28,0,8.21,1562558817
470,Helena,5656882,US,46.59,-112.04,62.6,72,75,2.15,1562558817
471,Abidjan,2293538,CI,5.32,-4.02,75.2,94,20,3.36,1562558622
472,Kuusankoski,649919,FI,60.91,26.62,55.99,93,75,5.82,1562558817
473,Saint-Augustin,6138501,CA,45.63,-73.98,66.99,55,5,4.7,1562558818
474,Tarko-Sale,1490085,RU,64.92,77.78,54.0,93,100,21.23,1562558818
475,Tevriz,1489661,RU,57.51,72.4,66.18,65,15,6.11,1562558818
476,San Patricio,3437029,PY,-26.98,-56.83,41.67,75,64,4.85,1562558818
477,Egvekinot,4031742,RU,66.32,-179.17,72.61,37,13,7.4,1562558818
478,Espita,3527720,MX,21.01,-88.31,77.18,80,100,4.9,1562558819
479,Xining,1788852,CN,36.62,101.77,51.24,82,96,5.7,1562558819
480,Ploemeur,2986732,FR,47.73,-3.43,62.01,93,35,6.93,1562558819
481,Olinda,2154386,AU,-37.84,145.39,60.8,62,40,10.29,1562558819
482,Kushiro,2129072,JP,43.11,144.15,60.8,82,75,8.05,1562558820
483,Warman,6176226,CA,52.32,-106.58,73.99,64,75,6.93,1562558820
484,Tautira,4033557,PF,-17.73,-149.15,80.6,78,75,10.29,1562558820
485,Kupang,2057087,ID,-10.16,123.6,84.2,42,20,11.41,1562558820
486,Zambezi,895953,ZM,-13.55,23.12,48.4,48,100,4.36,1562558820
487,Shar,2347266,NG,7.3,8.73,72.54,91,87,6.76,1562558821
488,Kasaragod,1267616,IN,12.5,75.0,77.0,94,75,3.36,1562558584
489,Vestmannaeyjar,3412093,IS,63.44,-20.27,52.48,69,0,13.2,1562558821
490,Ushtobe,1517637,KZ,45.25,77.98,92.01,19,0,8.14,1562558821
491,Aklavik,5882953,CA,68.22,-135.01,55.4,62,75,3.36,1562558822
492,Maamba,908718,ZM,-17.36,27.22,54.23,27,0,3.87,1562558822
493,San Jeronimo,3929607,PE,-13.65,-73.37,47.44,91,99,3.04,1562558822
494,Dalbandin,1180729,PK,28.9,64.41,91.63,12,0,2.37,1562558822
495,Saint George,262462,GR,39.45,22.34,71.6,56,0,4.7,1562558823
496,Svetlaya,2015852,RU,46.54,138.33,77.43,56,1,6.04,1562558823
497,Fos-sur-Mer,3017651,FR,43.44,4.95,78.01,64,0,4.7,1562558823
498,Dalby,2169535,AU,-27.18,151.26,64.4,68,90,3.36,1562558823
499,Presidente Medici,3924872,BR,-11.18,-61.9,66.29,69,0,3.87,1562558824
500,Vangaindrano,1054329,MG,-23.35,47.6,60.15,86,2,3.98,1562558824
501,Moree,2156927,AU,-29.46,149.84,59.0,87,75,9.17,1562558824
502,Charters Towers,2171722,AU,-20.07,146.27,70.54,75,99,10.85,1562558825
503,Cuiaba,3465038,BR,-15.6,-56.1,60.8,67,0,2.24,1562558825
504,Ndjole,2397674,GA,-0.18,10.76,70.32,92,86,2.44,1562558825
505,Itoman,1861280,JP,26.12,127.67,87.8,79,75,14.99,1562558826
506,Ketchikan,5554428,US,55.34,-131.65,60.8,77,20,14.99,1562558826
507,Marsh Harbour,3571913,BS,26.54,-77.06,83.34,75,100,15.64,1562558826
508,Angoram,2100765,PG,-4.06,144.07,88.23,61,93,2.57,1562558826
509,Itaituba,3397967,BR,-4.26,-55.99,72.45,89,8,1.03,1562558827
510,Kathmandu,1283240,NP,27.71,85.32,78.8,83,75,4.7,1562558593
511,Buala,2109528,SB,-8.15,159.59,81.03,83,100,10.18,1562558827
512,Sayat,1218436,TM,38.78,63.88,91.4,24,0,2.24,1562558827
513,San Angelo,5530022,US,31.46,-100.44,73.4,94,20,1.72,1562558725
514,Lugovoy,1498919,RU,59.72,65.88,57.51,83,100,0.45,1562558828
515,Sikasso,2451185,ML,11.32,-5.68,71.78,91,91,7.38,1562558828
516,Bandar,1205733,BD,22.29,91.78,80.6,94,90,13.87,1562558828
517,Istmina,3680453,CO,5.16,-76.69,74.57,96,97,2.95,1562558829
518,Porto Novo,6322184,BR,-23.68,-45.44,46.4,93,0,4.12,1562558829
519,Gidam,1271215,IN,18.98,81.4,76.84,90,99,9.55,1562558829
520,Skogn,3138701,NO,63.7,11.19,48.99,93,75,10.29,1562558829
521,Cabra,2520645,ES,37.47,-4.43,64.0,77,0,3.36,1562558830
522,Lata,1253628,IN,30.78,78.62,50.63,83,11,4.43,1562558830
523,Vao,588365,EE,59.1,26.19,53.62,87,100,3.38,1562558830
524,Sumenep,1626099,ID,-7.02,113.87,82.06,57,92,15.41,1562558830
525,San Cristobal,3609418,HN,14.68,-86.92,67.62,96,100,2.19,1562558831
526,Naze,2337542,NG,5.43,7.07,72.07,96,98,5.32,1562558831
527,Okha,2122614,RU,53.59,142.95,55.2,73,83,6.17,1562558831
528,Coxim,3465228,BR,-18.5,-54.75,56.86,46,0,11.07,1562558831
529,Oktyabrskoye,1511846,RU,56.73,85.44,73.0,60,0,11.18,1562558832
530,Lensk,2020838,RU,60.71,114.91,77.05,39,100,5.75,1562558832
531,Moron,3720455,HT,18.56,-74.26,81.36,76,77,3.42,1562558832
532,Wattegama,1241622,LK,7.35,80.68,82.83,60,39,5.77,1562558832
533,Frontera,3527545,MX,18.53,-92.64,78.8,83,40,13.87,1562558833
